,CircleName,RegionName,DivisionName,OfficeName,Pincode,OfficeType,Delivery,District,StateName,Latitude,Longitude
145118,Maharashtra Circle,Pune Region,Shrirampur Division,Karegaon Factory S.O,413717,PO,Delivery,AHMEDNAGAR,MAHARASHTRA,19.35308333,74.42247222
145119,Maharashtra Circle,Pune Region,Shrirampur Division,Kolpewadi S.O,423602,PO,Delivery,AHMEDNAGAR,MAHARASHTRA,19.89819444,74.35386111
145120,Maharashtra Circle,Pune Region,Shrirampur Division,Loni Bk S.O,413736,PO,Delivery,AHMEDNAGAR,MAHARASHTRA,19.57777778,74.4675
145121,Maharashtra Circle,Aurangabad Region,Osmanabad Division,JJJKSSK Nalegaon S.O,413581,PO,Delivery,LATUR,MAHARASHTRA,18.408454,76.55993
145122,Maharashtra Circle,Aurangabad Region,Osmanabad Division,Kasarsirsi S.O,413607,PO,Delivery,LATUR,MAHARASHTRA,18.408454,76.55993
145123,Maharashtra Circle,Aurangabad Region,Osmanabad Division,Killari S.O,413516,PO,Delivery,LATUR,MAHARASHTRA,18.408454,76.55993
145124,Maharashtra Circle,Aurangabad Region,Osmanabad Division,Nalegaon S.O,413524,PO,Delivery,LATUR,MAHARASHTRA,18.408454,76.55993
145125,Maharashtra Circle,Aurangabad Region,Osmanabad Division,Pangaon S.O (Latur),431522,PO,Delivery,LATUR,MAHARASHTRA,18.408454,76.55993
145189,Maharashtra Circle,Aurangabad Region,Beed Division,Ashti S.O (Beed),414203,PO,Delivery,BEED,MAHARASHTRA,18.995568,75.791871
145190,Maharashtra Circle,Aurangabad Region,Beed Division,Bansorala S.O,431518,PO,Delivery,BEED,MAHARASHTRA,18.995568,75.791871
145191,Maharashtra Circle,Aurangabad Region,Beed Division,Beed ST Stand S.O,431153,PO,Delivery,BEED,MAHARASHTRA,20.0375599,73.8326201
145192,Maharashtra Circle,Aurangabad Region,Beed Division,Chousala S.O,431126,PO,Delivery,BEED,MAHARASHTRA,18.995568,75.791871
145193,Maharashtra Circle,Aurangabad Region,Beed Division,Kada S.O (Beed),414202,PO,Delivery,BEED,MAHARASHTRA,18.995568,75.791871
